Created model with fresh parameters.
Num params: 344962
Number of params: 344962 (retreival took 1.876255 secs)
F1: 0.401833333333, EM: 0.38, for 100 samples
F1: 0.375810457516, EM: 0.38, for 100 samples
F1: 0.428833333333, EM: 0.41, for 100 samples
F1: 0.366081871345, EM: 0.36, for 100 samples
F1: 0.393333333333, EM: 0.39, for 100 samples
F1: 0.448265700483, EM: 0.44, for 100 samples
F1: 0.394915966387, EM: 0.39, for 100 samples
F1: 0.400191920945, EM: 0.38, for 100 samples
F1: 0.429722222222, EM: 0.41, for 100 samples
F1: 0.373418192918, EM: 0.39, for 100 samples
F1: 0.409728937729, EM: 0.4, for 100 samples
F1: 0.379208437761, EM: 0.37, for 100 samples
F1: 0.432651515152, EM: 0.42, for 100 samples
F1: 0.378029866332, EM: 0.38, for 100 samples
F1: 0.403015873016, EM: 0.38, for 100 samples
F1: 0.40130952381, EM: 0.42, for 100 samples
F1: 0.423515873016, EM: 0.39, for 100 samples
F1: 0.37748380008, EM: 0.37, for 100 samples
F1: 0.40819047619, EM: 0.4, for 100 samples
F1: 0.392816594517, EM: 0.39, for 100 samples
F1: 0.447634920635, EM: 0.43, for 100 samples
F1: 0.371418107732, EM: 0.37, for 100 samples
F1: 0.423333333333, EM: 0.42, for 100 samples
F1: 0.374333333333, EM: 0.39, for 100 samples
F1: 0.441651515152, EM: 0.45, for 100 samples
F1: 0.38557622739, EM: 0.39, for 100 samples
F1: 0.44412987013, EM: 0.46, for 100 samples
F1: 0.374928934655, EM: 0.36, for 100 samples
F1: 0.451761904762, EM: 0.43, for 100 samples
F1: 0.41335002773, EM: 0.43, for 100 samples
F1: 0.424047619048, EM: 0.42, for 100 samples
F1: 0.372290598291, EM: 0.37, for 100 samples
F1: 0.441474407945, EM: 0.45, for 100 samples
F1: 0.374927350427, EM: 0.37, for 100 samples
F1: 0.456875901876, EM: 0.45, for 100 samples
F1: 0.413651404151, EM: 0.42, for 100 samples
F1: 0.417817460317, EM: 0.39, for 100 samples
F1: 0.463260683761, EM: 0.45, for 100 samples
F1: 0.446425567896, EM: 0.45, for 100 samples
F1: 0.404023809524, EM: 0.42, for 100 samples
F1: 0.466484848485, EM: 0.47, for 100 samples
F1: 0.441111111111, EM: 0.41, for 100 samples
F1: 0.470392156863, EM: 0.46, for 100 samples
F1: 0.464985679779, EM: 0.44, for 100 samples
F1: 0.384166666667, EM: 0.37, for 100 samples
F1: 0.405141636142, EM: 0.39, for 100 samples
F1: 0.461841991342, EM: 0.46, for 100 samples
F1: 0.489308302808, EM: 0.5, for 100 samples
F1: 0.396582633053, EM: 0.39, for 100 samples
F1: 0.464414862915, EM: 0.47, for 100 samples
F1: 0.408888888889, EM: 0.41, for 100 samples
F1: 0.438971001221, EM: 0.45, for 100 samples
F1: 0.444915966387, EM: 0.43, for 100 samples
F1: 0.434228545964, EM: 0.46, for 100 samples
F1: 0.423542568543, EM: 0.42, for 100 samples
F1: 0.466822434875, EM: 0.48, for 100 samples
F1: 0.443804855275, EM: 0.43, for 100 samples
F1: 0.415365946919, EM: 0.42, for 100 samples
F1: 0.41974929972, EM: 0.4, for 100 samples
F1: 0.421722222222, EM: 0.42, for 100 samples
F1: 0.411994535519, EM: 0.41, for 100 samples
F1: 0.438352737905, EM: 0.41, for 100 samples
F1: 0.432587412587, EM: 0.43, for 100 samples
F1: 0.442715728716, EM: 0.44, for 100 samples
F1: 0.434722222222, EM: 0.42, for 100 samples
F1: 0.456186792739, EM: 0.46, for 100 samples
F1: 0.412651515152, EM: 0.42, for 100 samples
F1: 0.426808302808, EM: 0.44, for 100 samples
F1: 0.399555555556, EM: 0.42, for 100 samples
F1: 0.38979616462, EM: 0.42, for 100 samples
F1: 0.401222222222, EM: 0.38, for 100 samples
F1: 0.416397047397, EM: 0.43, for 100 samples
F1: 0.439357142857, EM: 0.43, for 100 samples
F1: 0.451594017094, EM: 0.48, for 100 samples
F1: 0.354994720965, EM: 0.34, for 100 samples
F1: 0.426166666667, EM: 0.44, for 100 samples
F1: 0.352871794872, EM: 0.35, for 100 samples
F1: 0.353880952381, EM: 0.39, for 100 samples
F1: 0.466582633053, EM: 0.45, for 100 samples
F1: 0.438047619048, EM: 0.47, for 100 samples
F1: 0.424555555556, EM: 0.41, for 100 samples
F1: 0.418047619048, EM: 0.45, for 100 samples
F1: 0.458225490196, EM: 0.43, for 100 samples
F1: 0.420013982307, EM: 0.43, for 100 samples
F1: 0.372892156863, EM: 0.36, for 100 samples
F1: 0.436876984127, EM: 0.47, for 100 samples
F1: 0.445555555556, EM: 0.46, for 100 samples
F1: 0.414880952381, EM: 0.4, for 100 samples
F1: 0.445555555556, EM: 0.42, for 100 samples
F1: 0.390888888889, EM: 0.38, for 100 samples
F1: 0.368725490196, EM: 0.35, for 100 samples
F1: 0.403605263158, EM: 0.44, for 100 samples
F1: 0.402380952381, EM: 0.39, for 100 samples
F1: 0.464894640447, EM: 0.44, for 100 samples
F1: 0.409995331466, EM: 0.39, for 100 samples
F1: 0.467665445665, EM: 0.46, for 100 samples
F1: 0.420695611578, EM: 0.41, for 100 samples
F1: 0.414955433455, EM: 0.44, for 100 samples
F1: 0.396057602528, EM: 0.38, for 100 samples
F1: 0.431484126984, EM: 0.44, for 100 samples
F1: 0.421518759019, EM: 0.4, for 100 samples
F1: 0.427760683761, EM: 0.46, for 100 samples
F1: 0.435422502334, EM: 0.44, for 100 samples
F1: 0.424506715507, EM: 0.43, for 100 samples
F1: 0.401030525031, EM: 0.4, for 100 samples
F1: 0.385909104522, EM: 0.4, for 100 samples
F1: 0.411991452991, EM: 0.4, for 100 samples
F1: 0.444675098175, EM: 0.45, for 100 samples
F1: 0.381260683761, EM: 0.38, for 100 samples
F1: 0.435775362319, EM: 0.43, for 100 samples
F1: 0.367936507937, EM: 0.36, for 100 samples
F1: 0.449228937729, EM: 0.45, for 100 samples
F1: 0.384471447496, EM: 0.37, for 100 samples
F1: 0.434328282828, EM: 0.46, for 100 samples
F1: 0.411793650794, EM: 0.41, for 100 samples
F1: 0.408043417367, EM: 0.4, for 100 samples
F1: 0.418875062846, EM: 0.41, for 100 samples
F1: 0.417979925303, EM: 0.45, for 100 samples
